move_id,event_date,effective_date,move_type,player_id,from_team_id,to_team_id,transaction_detail,source,nfl_season,season_phase,phase_week,nfl_week,ingested_at
ofs_2022_01_00065,2022-09-08,2022-09-08,free_agency,BookTh00,,HOU,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00066,2022-09-08,2022-09-08,free_agency,StuaGr00,,IND,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00067,2022-09-08,2022-09-08,free_agency,RyanMa00,,IND,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00068,2022-09-08,2022-09-08,free_agency,CrosNi00,,IND,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00069,2022-09-08,2022-09-08,free_agency,NgakYa00,,IND,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00070,2022-09-08,2022-09-08,free_agency,MossZa00,,IND,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00071,2022-09-08,2022-09-08,free_agency,RidlCa00,,JAX,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00072,2022-09-08,2022-09-08,free_agency,VanxCo00,,JAX,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00073,2022-09-08,2022-09-08,free_agency,LloyDe00,,JAX,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
ofs_2022_01_00074,2022-09-08,2022-09-08,free_agency,ConnSn00,,JAX,inferred_from_players_metadata,https://github.com/nflverse/nflverse-data/releases/download/trades/trades.csv,2022,regular,1,1,2026-04-24T18:27:22Z
